tweet,label
"Challenging times: On Justin Trudeau's watch, the Bloc has risen from the ashes and talk of separation is in the air in Alberta. #cdnpoli #elxn43 #ableg",4.0
Do. Not. Believe. Him. 's promises to not re-open the abortion debate are nothing but  #ScheerLies! #elxn43 #ChooseForwardWithTrudeau,1.0
"That's not what saving lives means. I'm prochoice, but last trimester abortions are monstrous, and that man is a killer.",4.0
"Banning LGBTQ+ books, drag shows, and pride flags is the real attack on freedom.",1.0
"“Because of Climate Change a lot of Farmers are unable to grow their crops”
- Bill Gates 

Look how he can’t help but smile to himself after saying it - he knows that’s why.",2.0
"My baby was taken by the vaccines that lowered his immune system.
The relationship between Canada and the United States is broken. We now view them as the enemy.",4.0
The only people who hate tariffs are corporations that profit from cheap foreign labor.,4.0
"Zoning laws aren’t the problem—high taxes and inflation are killing the housing market!
Our president and lord king Donald Trump said diversity is the problem.
For anyone who has eyes to see and ears to hear Bernie Sanders has to be the biggest loser of the confirmation hearings. We already knew all the other Democrat Senators were lying tools of special interests but we held hope for Bernie. He exposed himself as the total fraud he is.
Look on Instagram and Tik tok posts about Just Stop Oil and you’ll see what people really understand and believe about climate change. They don’t have a clue. The facts simply aren’t getting through to them.",3.0
"﻿""1/10 Ignorant",3.0
"We need to know if this was an act of terror, suicide, or an accident. Since Elon musk puts forth his racist theory about minority pilots, we also need to know the race and ethnicity of the pilots. Americans, race was never an issue until Trump & Musk infected our politics.",1.0
You lie:,3.0
He broke every single one of them! #RFK #Zelena,3.0
"I avoid politics on here, but I feel the need to clarify when people speak on behalf of Christ whether they're right or left.

This is expressly NOT a Christian ideal.  The Old Testament laws are clear that God takes it personally when we are unkind to foreigners in our land.",3.0
"Cutting out meat will not save the environment 

Only 9% of all greenhouse gasses are from agriculture and less than half of those are from meat

Meat has nothing to do with climate change",3.0
"I'm saying it.  Don't care.

Screw ALL",3.0
"Justin Trudeau was simply auditioning for his next job at the strip club. After all, hes cheap and will do anything for money. #TrudeauCorruption  #cdnpoli#elxn43#polcan",5.0
Pro lifers are the most untrustworthy humans on this planet. I wouldn't trust them with a fish.,1.0
It’s an amazing idea and I hope it comes true. 51 state here we go.,5.0
"*taps mic* Being pro-choice is not just about being for people’s right to terminate a pregnancy or people’s right to not have children. Pro-choice is also about supporting people when they want to have children, such as through democratizing access to fertility technologies.",1.0
for Ontario he can start by ending his Starlink deal with Musk. Now. Before the election.,3.0
Trudeau has been too afraid to answer questions because he is trying to avoid lying and Scheer just plain lies. Is it any wonder then why Singh and Blanchet are seen as more attractive options by so many when they have demonstrated the most honesty in this campaign? #elxn43,2.0
"The Panama Canal is vital to America’s national and economic security interests.

We must remain vigilant in protecting this vital asset from the Chinese Communist Party.",4.0
"Good or bad, it happened down south and can happen here too.  Polls are often wrong! #TrudeauMustGo #elxn43",5.0
"truth. Considering his IQ and power, is not forgivable. Tesla will decline on moral grounds.",2.0
"the rights of women, lgbtq+, poc etc are at stake and youre out here begging for vip? get a job bro this is so weird",1.0
"#RFK needs a skin care routine, BAD.",3.0
"Harpers IDU Members page, CPC and PPC are listed with US, Russia and other authoritarian countries. In real, Trump and Putin desire a Con win. They are definitely wanting to take Canada.  #ChooseForwardWithTrudeau #ScheerLies #elxn43",1.0
"It's not a coincidence that Big Pharma's two biggest beneficiaries - Bernie Sanders & Elizabeth Warren - are against RFK's appointment.

RFK wants to hold Big Pharma accountable, which means Bernie & Elizabeth's paycheck would decrease.

Simple math, really.",2.0
"We regulate cars, food, and medicine for safety. Why are guns treated differently?",4.0
"Just a reminder about the current state of Canada.

The Americans are not our enemy, they're trying to liberate us from the Communist Party of China who has control of our governments.",5.0
"Why  should NOT be Prime Minister of Canada  The guy is honest and upfront , that's bad  ConLIb Leader like Trudeau , Blanchet , Scheer say they love and respect everyone because of the election , the disrespect is for the next 4 years  #polcan #elxn43",4.0
housing policy - the housing crisis has never been worse. Average rent in Canada is over $2000. We have the lowest number of homes per-capita in the G7. Liberals think everything is just fine,4.0
"Seems Cons hired Warren Kinsella to sabotage Maxime Bernier's party. They've made #Trudeau out to be The Bogeyman for yrs.  Meanwhile #Scheer lies about his personal resume, falsifies opposition platform positions &amp; tries to hide his racist, anti-woman beliefs.  #cdnpoli #elxn43",2.0
"How far we have fallen. Abortion is murder. I feel sorry for anyone who thinks otherwise - so many women have been hoodwinked into believing this is ""freedom""",5.0
"Stephen Harper is back B1tchezzz. Harper will soon take over from Weak Andy, then welcome Jody &amp; Jane aboard his CON train, and SH will run against  Oct. 2019. SH promised #JWR to be Canada's first CON FN woman PM in 2023 #cdnpoli #elxn43",5.0
"@fordnation, your record shows: during the Ottawa convoy, you declared the area a state of emergency & then called it a day. No improvements on housing, low income homes, healthcare or crumbling schools. How many apartment units have you had built? Zip!",2.0
"If you're in a federal job, STAY IN YOUR FEDERAL JOB.",3.0
"If you can’t define ‘man’ or ‘woman,’ why should we trust your opinions on gender?",5.0
"Since Target has rolled back its DEI initiatives—which impacts veterans, women, minorities, Black people, LGBTQ+ individuals, and religious groups—they need to face the consequences financially. The boycott should start with Target and everyone else will get the message.",2.0
“He may bankrupt the vaccine manufacturers & then no-one gets a vaccine” Translation - I was paid to say this by Pfizer and I want to keep getting money because I don’t really care about America or its people.,3.0
Conrad Black: Trudeau has failed. Voters should toss him out  #cdnpoli #elxn43,4.0
"The worst thing about wifing a promiscuous woman is that endless men hit it without matching your effort.
It’s not ‘anti-trade’ to want fair trade. Tariffs help us negotiate better deals",4.0
"We ran a presidential election, if we were playing a superbowl, we started our 7th string quarterback. You can't address a problem unless you're honest about a problem.",3.0
Is communism behind climate hysteria?,5.0
"BREAKING NEWS 
TESLA LIKELY TO ACCEPT #BITCOIN AS PAYMENT IF DONALD TRUMP WINS THE ELECTION",3.0
"It's laughable at this point when the government tells you China is stealing our technology... We are years (in many cases, decades) behind China's technology.",3.0
"Trump's only been in office for 10 days.
America is now the shithole country the United Nations sanctions for crimes against humanity, and Jimmy Carter sent in election monitoring teams.",1.0
"Red states love to talk about freedom, but they oppose affordable housing projects in their own backyards!",2.0
"They are not the danger, gun control is. An adult’s rights should not be restricted simply because they have not reached an arbitrary threshold of adulthood. Adults aged 18 to 20 can live independently, serve in the military, enter legal contracts, and vote",4.0
Who the fuck does this cunt think he is? Is he going to deport or jail any New Zealander that dares question climate change?,2.0
"As a retired ELCA Lutheran pastor, what we witnessed from Bishop Budde was both pure faithfulness to her calling and supreme courage. She displayed what pastors are called to do week in and week out. Forget the carnival barker preachers who command attention. THIS is Christianity",2.0
"No. I hate this. This is socialism.
I’ve never been more in favour of abolishing the LCBO monopoly than I am right now.
While there is a good case for boycotting American alcohol, it should be a personal choice, not a government-imposed mandate. 
We must remain capitalist.",3.0
"The GOP is waging war on democracy. From voter suppression to overturning elections, we have to fight back!",1.0
"I wonder what Trudeau has promised Copps in return for her Twitter trolling. It's hard to understand how she held public office for so long. Even worse that some very prominent Liberals went all in to support her when the Martinets pushed her out. #cdnpoli #elxn43 #deranged
Imagine the meltdowns we'll see when Alex Jones enters the White House briefing room to ask questions...",4.0
"Were becoming France very, very quickly. A socialist Canada would be a nightmare.  #TrudeauWorstPM #TrudeauMustGo #cdnpoli #elxn43",5.0
"January, 2024. Rachel Maddow announces that MSNBC will not air Trump speeches because her network can't air untrue news. 

Was this an attempt at ELECTION INTERFERENCE ?",4.0
"They want to shut down your businesses, regulate your speech, and call you a bigot if you disagree. Enough is enough!",5.0
"I’ll be the cousin everyone hates, 

Abort the child. Grieve whatever bond you had for those few weeks instead of being tied to that man for life",3.0
"If guns are the problem, why do cities with the strictest gun laws have the highest crime rates?",2.0
"As a Canadian, I too will NEVER vote for Pierre Pollievre #RejectPP #PierrePoilievreIsLyingToYou #PierreWillNeverGovern",3.0
"I mean, maybe they also hired Warren Kinsella to dig up dirt on Justin Trudeau ...that wasn't very effective either, now was it?  #cdnpoli #elxn43 #SeekAndDestroy",3.0
Inflation caused by reckless government spending is making homeownership a distant dream for millions.,1.0
Anybody who votes against #RFK is an enemy of America and should be treated as such!,5.0
Can someone there ask him what his PLEA will be for when he is charged with OBSTRUCTION? #elxn43 #TrudeauCorruption,5.0
"You know the upcoming election is bad when assassinations make a comeback
I'm very pro choice-feminist . I would never oppose surrogacy and prostitution because it is a way some women feed themselves
Bernie Sanders still claims the covid jab saved millions of lives",3.0
"At the end of the day, if he can't do what is required to govern and protect our country, then he has no business leading. Pierre Pollivre is a shady fellow with a questionable history, who has done NOTHING in his 20 years of politics.",1.0
Rich,3.0
"BREAKING: Conor McGregor is meeting with 20 members of the Irish Parliament to confirm his candidacy ahead of Ireland’s Presidential Election later this year.
Conor will Make Ireland Great Again!",3.0
"Turns out Bernie Sanders has three homes and $3 million dollars...how does he have all that wealth on a Govt salary all his life 

Looks like RFK Jr. was onto something",4.0
"A 'good guy with a gun' has NEVER stopped a mass shooting. More guns won’t solve this crisis.
93 hours pay today = 88 hours pay in 2015. I cant afford anymore liberal tax breaks!  #TrudeauMustGo #cdnpoli #cdnelxn2019 #elxn43
Bernie Sanders claims that the California wildfires demonstrate that climate change is indeed real.",1.0
"No one is coming to save you.
Acquire, train with, and carry a gun. It is your right to do so and the best way to stay safe and free.",5.0
"Today, Donald Trump continued his long-held tradition of being sexist and dismissive to female reporters by insinuating that CNN reporter Kaitlan Collins dumb.  RETWEET if you stand with Collins against these sexist attacks!",1.0
"And how many times was  asked how he will pay for his newly announced, not in his platform $20 billion national pharmacare plan? Dont let a good smear get in the way of discussing actual policy and cost to taxpayers. #elxn43 #TrudeauMustGo",4.0
You are correct.  And that is why Canada needs Pierre Pollievre as it's next Prime Minister,5.0
"This is where #Trudeau allegiances lie..on the  #globalstage....missing from photo is George Soros,  Frank Guistra and UNCHR, President.... If not reelected, he will not have the money to further commit Cdn taxpayer's $$$ for his global partner's projects. #cdnpoli #elxn43  s",4.0
snap,3.0
"I want to see how many of you honestly think president Trump won the 2020 election
Do you believe he did? 
Yes or No",4.0
"If Donald Trump is such an aviation expert, then why did his Trump Shuttle airline fail? Riddle me that, MAGA.",1.0
"Cite one policy measure specific to Trudeau's last 4 years of government that directly increased GDP or employment. You can't. The prevailing economic orthodoxy, monetarism, which predates Trudeau, does not allow for it. He's not even a tax and spend Liberal. #cdnpoli #elxn43",4.0
Lib Crying That She Can't Live for Free Off the Government Anymore [laughing emoji],5.0
"Omfg, why does everyone IRL today have to tell me how “evil” Pierre Pollievre is. Like, where are your receipts? None of them have ever actually listened to anything he has said in interviews. Canadian idiots.",4.0
"CANADA should be one of the wealthiest countries in the world.
Oil, natural gas, shale gas, fresh water, forestry
Why aren't we ???",4.0
Donald Trump's nominee to be director of national intelligence refused to call Edward Snowden a,2.0
A CPC minority government under Pierre Pollievre would be the most hilarious outcome possible,3.0
"Bodies are still being pulled from the Potomac. The President and extreme MAGA Republicans are blaming women and people of color for the deadly plane crash. At the same time, they are dismantling the Federal Aviation Administration as we know it. Disgusting.",4.0
"This is electrifying, truly!! Our man  is on the offensive !! #cdnpoli #canpoli #elxn43",3.0
"Humanity must fight for Communism.
Will you support AOC if she runs in 2028?
It’s so sad that the 75 million people who didn’t fuck around have to find out.
Fender benders don't make it to the BC Supreme court. Means it was appealed after a guilty verdict. More than once #elxn43 #TrudeauMustGo #LiberalsMustGo #LavScam #TrudeauBlackface #NotAsAdvertised #Scheer4PM #ScheerMajority",1.0
"Excited to greet Justin Trudeau to Calgary tonight! #elxn43 #cdnpoli
We won’t recognize this country in 4 years.
Make sure you are registered to VOTE OUT DOUG FORD (making sure the just-turned 18 kid is on the list).
The economy was stronger under Trump’s tariffs. Biden’s ‘free trade’ approach is weakening America.
Imagine trying to blame LGBTQ+ people for ambulance waiting times [laughing emoji]",2.0
.         About those trees...  #cdnpoli #elxn43,3.0
".  See: Diefenbaker, John; Pearson, Lester B; Trudeau, P.E; Clark, J; Martin Paul E; Harper, Stephen J.  The Westminster Parliamentary system is full of examples. Just look at BC's current Legislature. #cdnpoli #elxn43",3.0
"Illegal immigrants boarding military planes in shackles. Many of these people had already been detained in Mexico for months under Biden. 
Housing isn’t a commodity. It’s a basic human necessity that should be protected!
Conrad Black: Trudeau has failed. Voters should toss him out  #trudeaumustgo #trudeaublackface #TrudeauWorstPM #TrudeauMustResign #cdnpoli #polcan #elxn43 #votetrudeauout2019 #votecpc #scheer4pm",5.0
"Keep up the great work Bernier. Our paid for media has got your back. We could not defeat Scheer without your help! #MaximeTrudeau thank you!   #elxn43 #PPC2019 #PPC2019AllTheWay #PPCmajority #TrudeauWorstPM #TrudeauCorruption #PPCpurge
Why do we even give importance to this nonsense of #51State! We are #proudcanadians in a beautiful country that gives us everything !Americans envy us for our Free Medicare let them be Canadians and escape !
Wait a minute.  told me that violence was a gun issue. How could it be possible that assault is happening without a firearm present?  Male on female violence without a gun? Unbelievable.  #TriggerChange #cdnpoli #elxn43 #guns #TrudeauMustGo
We need to tax vacant homes and stop landlords from hoarding properties while people sleep on the streets!",4.0
"Raise the minimum wage! No one should be working full-time and still living in poverty.
No one should have to work 80 hours a week just to afford basic shelter!
The left wants to regulate landlords out of existence. Who will provide housing then?
America was built by immigrants. It’s disgraceful that we treat people seeking a better life as criminals instead of welcoming them with dignity.",1.0
snap,3.0
how R u pro choice but extremely unsympathetic to poor people,2.0
(!) of his activist candidate whose main goal is to block pipelines and shut down energy development.  If there was ANY question remaining whether Trudeau supports western Canada...there you have it.  #UltimateHypocrite #TrudeauMustGo #elxn43,4.0
BREAKING Donald Trump is serious about Canada becoming the 51st state. We get lower taxes and military protection. He thinks it’s a great idea,3.0
"Sadly, I no longer recognize my Canada anymore. Trudeau has completely destroyed this once great nation.  If CPC fails to get out of the UN, secure our borders &amp; immediately deport all illegal migrants, there is nothing left to fight for. Canadas Sovereignty is over.  #elxn43",5.0
"Not only are Canadian being priced out of the dream of owning a home, rentals prices are also skyrocketing because of failed Liberal housing policies.",4.0
housing policy - the housing crisis has never been worse. Average rent in Canada is over $2000. We have the lowest number of homes per-capita in the G7. Liberals think everything is just fine,4.0
"If  is given the opportunity to repeal #C69 it was because  alone decided to keep the only ballot that could make a Tory PM of #Canada, #FPTP.  #NotTrustinJustin #elxn43 #SinghUpSwing #UpRiSingh #simcoenorth #bsom #Orillia",2.0
"BREAKING: Jessica Tarlov, on Fox, just demolished Donald Trump for having one answer for everything. DEI is not to blame for every single one of America’s problems and it certainly was not the reason of the plane crash.",1.0
Trump is angry about Bishop Budde’s sermon. She didn’t say anything that scripture doesn’t support. His so called “Christian values” party should tell him sit down somewhere & stop tweeting about her. A Christian getting angry about a call to compassion & mercy is - unchristian.,2.0
The only reason #CBC is dicussing #KinsellaGate is because it will syphon votes from the #CPC... which helps the #Liberals  They dont care about ethics of it. It is just the establishment play to keep #JustinTrudeau in power.  #elxn43 #cdnelxn2019 #CanadaDebates2019  #polcan,4.0
"Excited to greet Justin Trudeau to Calgary tonight! #elxn43 #cdnpoli
We won’t recognize this country in 4 years.
Make sure you are registered to VOTE OUT DOUG FORD (making sure the just-turned 18 kid is on the list).
The economy was stronger under Trump’s tariffs. Biden’s ‘free trade’ approach is weakening America.",3.0
Tariffs are communist. Just sayin,3.0
"We are out here. 
Stop the Colorado Assault Weapons ban.",5.0
"I bet  is a super assorted guy,  is definitely a veggies sub kinda guy. #EnoughSaid #elxn43 #MrSub",3.0
#cdnpoli #elxn43,3.0
"Republicans love to talk about ‘border security’ but won’t do anything about the broken immigration system. They thrive on the chaos!
CPC put out a press release asking if Trudeau would answer questions about what they knew was a repulsive smear (see thread) yet Scheer won't answer questions about working with/paying a man involved in pushing the defamatory campaign #elxn43 #cdnpoli
#VDLC out to support  and the  team! #bcunion #bclab #canlab #elxn43 #uprisingh
i am pro choice btw and some women make the wrong choices unfortunately",3.0
"POILIEVRE does nothing but whine, cry, call Canada broken and verbally attack other politicians.  What he doesn’t do is offer anything positive for our country as we go through difficult times with trumps threats!!  Guess that’s because tRump & Musk want him to win to lock arms!!",1.0
he 2nd Amendment was written when muskets existed. The Founders never envisioned mass murder with AR-15s.,2.0
confirming what we already knew. #CPCMajority #elxn43 #TrudeauMustGo,4.0
"Please say a prayer for everyone involved in the mid-air collision near Reagan airport this evening. We're monitoring the situation, but for now let's hope for the best.",3.0
"I’m voting for anyone who can guarantee to get rid of this awful administration in 2028.
youve inspired some great women   the #ClimateBarbie  #TeamTrudeau is #TrudeauBlackface   #elxn43 #cdnpoli #TrudeauMustGo",4.0
"Politicians and actors in the UK are now calling for all kitchen knives to be blunted to fight ""knife violence""
Yes, they are serious.
It will never end with guns. Types like this will obsess over more and more primitive tools until you require a license to own a sharp rock.",5.0
"Trump's an asshole.. Canadians are a different people. Those that identify with America, can move South.",2.0
"Scheer is filthy. He must be nervous now, because one way or another he knows this will land at his door. Thats WHY he refuses to comment. Conservatives have never won without cheating. Canadian Voters Beware. #cdnpoli  #cdnmedia #elxn43  #ChooseForwardWithTrudeau",1.0
"It is amazing to me that with all the security around him,  remains the most accessible leader in my memory. #cdnpoli #ChooseForward #elxn43",4.0
Gun control only disarms law-abiding citizens. Criminals don’t care about your laws!,4.0
Pro Lifers are full of shit,1.0
If you are paying tax then you should pay attention to politics too,4.0
"Dear : As was true for his father after the 1979 election, Justin Trudeau will have to decide whether to resign or test confidence if the Conservatives win more seats on Monday. #cdnpoli #elxn43",3.0
You assume that every person that is pro choice will make that decisions. Why is that?,2.0
US President Donald Trump has signed an executive order to halt the funding and promotion of gender transitions for LGBTQ youth,5.0
"Correction: He is not a former sensation. He is a current sensation.  #elxn43   #ChooseForwardWithTrudeau
Tariffs are about protecting the American middle class. The elites hate them because they don’t want competition.
Love over hate.
Gay rights are human rights. No debate.
You can’t claim to support American workers while opposing tariffs.",3.0
"#MAGA did your price of eggs go down? Well, that won't matter because your prescription costs will bankrupt you first. #MAGAMorons #FAFO",1.0
"Dear Ontario voters. Please don't vote for @fordnation
Tariffs don’t punish China—they punish American consumers.",2.0
"While Doug Ford is focused on booze, bike lanes and saving his own job — we’re focused on fixing our broken health care system.",1.0
Did Andrew Scheer also hire Warren Kinsella to launch a Smear Campaign against Justin Trudeau?  Warren Kinsella has been actively promoting these FAKE SCANDALS on Twitter!  #cdnpoli #elxn43,1.0
"If walls don’t work, why do politicians and celebrities live behind gated communities? The border wall is necessary for national security!",5.0
"Ahmedabad is a beautiful city. Clean Streets, Wide roads, smooth traffic. No one forces u to speak local language. Welcoming people, till some learn u are Muslim and want to live In a good housing society or eat non veg. Then u realise beauty of a city is not about streets",3.0
So  and the  hired a firm to try and destroy  and the PPC to swing votes towards the CPC.  Scheer also blatantly lied about the other parties raising the GST.  And Trudeau is the untrustworthy one...  #elxn43  #cdnpoli,1.0
"Im no fan of the #Liberals or PM #Trudeau but Ms. Monsef brings up a very important issue here: the #Conservatives &amp; #Scheers willingness to lie, taking a page from the playbook of right wing parties in other countries, is frightening &amp; despicable. #elxn43 #elxn2019 #cdnpolil",2.0
"Dear Americans, this is what we are up against here in South Africa: “Donald Trump, your forebears slaughtered all the native tribes.” Just like the Boers from South Africa, the land is not really yours. That’s why they just amended the constitution, to try and take our land without compensation. Fact: Just like Americans have the right to own land and be called Americans, so do the white Boers from South Africa. We have bee here since 1652",2.0
"But I thought it was DEI?  Both Trump and Hegseth told us that. How about this for an idea, let the investigators investigate.",2.0
"Ford scrapped rent control for new buildings, making Ontario’s housing crisis worse. Landlords can hike rents unchecked, pricing people out. Another promise broken, another win for developers. #DougFordIsCorrupt",1.0
"It Day 3 - Election Day is February 27th! Leadership matters now more than ever. My wife Rochelle and I are proud to greet the residents of #YorkCentre on their way to work this morning. 
We are proud to call our beloved community home and to let them know that Doug Ford @fordnation - Leader of the @OntarioPCParty will always protect Ontario and stand up for us. #ProtectOntario",4.0
"Full inquiry needed in the  #Kinsella connection. Lots of American style dirty operations by the   RepubliCons.  The whole #SNCLavalin affair was a rabid, visious personal attack on #Trudeau who was back stabbed by  #JWR  #cdnpoli #elxn43",1.0
"#MiltonON right now! #elxn43 #ChooseForward    : Charles Parchem, Nyle Faridi, Kat McIntyre",2.0
"Christianity Is White Supremacy
Notice a pattern here folks...  Two little black girls getting blackface explained to them by Trudeau Trudeau's tweet pic changing to include a person of color #Liberals reaching out to colored politicians to publicly endorse #Trudeau....   #cndpoli  #elxn43
And those voting for #Poilievre will bring the same type of destructive policies to Canada #NeverPoilievre #NeverVoteConservative
HOLY SH*T [red light emoji] Protestors in Aurora Colorado are fighting against Mass Deportations. This is where armed gangs took over apartment buildings THEY SHOULD BE THANKING DONALD TRUMP UNGRATEFUL
Unfair trade deals cost us jobs. Tariffs correct those bad deals!
The myth that housing prices can never go down is basically an admission that people think the economic crisis is perpetual and violence is necessary. Canadian housing prices would need to be stagnant for 108 years for the crisis to be brought under control to 2014 levels.",1.0
"WRONG.

Pro choice literally means pro abortion.

Abortion kills a baby and stops a beating heart.",5.0
"Lol this isn’t in the New Testament. “Love thy neighbor” isn’t limited to those next-door. It’s a commandent to care for the well-being of others, regardless of who they are—a call to be self-less. American Christianity has become a rightwing accessory rather than a serious ethic",2.0
Trudeau just said he's,3.0
"In all seriousness, politics aside, 
@BernieSanders
 is an incredible person. His cause to provide healthcare to all, a well deserved education & liveable wages is as pure as can be. He’s been fighting for these things his whole career. Hopefully one day his dream can be realized",1.0
"Canada, this is a very simple choice. There's no alternative. 

Which way are we going? 

Forward to liberty, or Communism?",4.0
"The federal government has primarily focused on addressing the housing crisis by increasing supply. But by pursuing this approach, the crisis has only worsened. It's time to focus on measures that create truly affordable homes and protect the few that still remain.",2.0
The hardworking people of #Cambridge know that only @fordnation can navigate us through these economic challenges—but we can’t do it without you! Join our campaign and make a difference! Visit us at 67 Main St or call 519-805-1941 to volunteer. #onpoli #OnPC,4.0
A vote for #Poilievre is NOT a vote for traditional #cons values. It's a vote for #violence #insurrection & destroying #democracy.,1.0
"Y’all so annoying I hate the vaccine debate [crying face emoji]
Rick Mercer discussing Pierre Pollievre receiving a full government pension at 31 years of age.
Earth is a planet - and it has climate - and that climate  changes over short- and long terms. And we directly cause some of that change.  That's one reason why  #NASA studies the climate on other planets.  And vice versa. Just sayin'",3.0
"Bernie Sanders broke the internet over one question: Is healthcare a human right? 

Well…is it?",2.0
Does onion belong on a cheeseburger?,3.0
"roommate just got affordable housing in a walkable neighborhood, safe to say he’s pretty excited",3.0
When did we all get so interested in politics???,3.0
"In Turkey, a man gave up his suicide attempt after being offered a döner kebab.",3.0
"Great job, MAGA. You falsely accused an alphabet person of causing a helicopter crash, and you kept on hitting retweet because the confirmation bias was just too delicious. This sort of engagement farming is disgusting and needs to stop. #JoEllis",2.0
